Rspeed Rref Lspeed Lref Time
14.0 0.0 63.1 0.0 0.000000
14.0 0.0 57.0 0.0 0.003000
14.0 0.0 -0.0 0.0 0.005000
72.8 0.0 -85.9 0.0 0.008000
100.8 0.0 -76.3 0.0 0.011000
66.6 0.0 -68.4 0.0 0.014000
32.4 0.0 -35.1 0.0 0.017000
-4.4 0.0 -16.7 0.0 0.020000
-32.4 0.0 -2.6 0.0 0.023000
-43.8 0.0 7.9 0.0 0.026000
-49.1 0.0 8.8 0.0 0.028000
-29.8 0.0 9.6 0.0 0.031000
-21.9 0.0 -0.0 0.0 0.034000
1.8 0.0 -0.9 0.0 0.037000
21.0 0.0 -7.0 0.0 0.040000
34.2 0.0 -6.1 0.0 0.043000
40.3 0.0 -7.9 0.0 0.046000
42.1 0.0 -9.6 0.0 0.049000
41.2 0.0 -11.4 0.0 0.052000
25.4 0.0 -11.4 0.0 0.055000
10.5 0.0 -10.5 0.0 0.057000
7.9 0.0 -4.4 0.0 0.060000
-1.8 0.0 -7.0 0.0 0.063000
-8.8 0.0 -5.3 0.0 0.066000
-11.4 0.0 -6.1 0.0 0.069000
-12.3 0.0 -5.3 0.0 0.072000
-7.0 0.0 -5.3 0.0 0.075000
0.0 0.0 -3.5 0.0 0.078000
1.8 0.0 -5.3 0.0 0.081000
9.6 0.0 -4.4 0.0 0.084000
12.3 0.0 -3.5 0.0 0.087000
13.1 0.0 -4.4 0.0 0.090000
14.0 0.0 -3.5 0.0 0.093000
11.4 0.0 -4.4 0.0 0.096000
7.0 0.0 -3.5 0.0 0.099000
4.4 0.0 -3.5 0.0 0.102000
3.5 0.0 -3.5 0.0 0.105000
3.5 0.0 -2.6 0.0 0.107000
1.8 0.0 -3.5 0.0 0.110000
1.8 0.0 -3.5 0.0 0.112000
1.8 0.0 -2.6 0.0 0.115000
1.8 0.0 -3.5 0.0 0.117000
4.4 0.0 -2.6 0.0 0.120000
3.5 0.0 -2.6 0.0 0.123000
3.5 0.0 -3.5 0.0 0.126000
4.4 0.0 -2.6 0.0 0.129000
4.4 0.0 -3.5 0.0 0.132000
3.5 0.0 -3.5 0.0 0.135000
3.5 0.0 -1.8 0.0 0.138000
3.5 0.0 -2.6 0.0 0.140000
3.5 0.0 -3.5 0.0 0.143000
3.5 0.0 -2.6 0.0 0.146000
4.4 0.0 -2.6 0.0 0.149000
4.4 0.0 -3.5 0.0 0.152000
2.6 0.0 -3.5 0.0 0.155000
2.6 0.0 -2.6 0.0 0.158000
0.9 0.0 -2.6 0.0 0.161000
0.0 0.0 -2.6 0.0 0.164000
0.0 0.0 -2.6 0.0 0.166000
0.0 0.0 -1.8 0.0 0.169000
0.0 0.0 -0.9 0.0 0.172000
0.0 0.0 -1.8 0.0 0.175000
0.0 0.0 -1.8 0.0 0.178000
0.0 0.0 -0.9 0.0 0.181000
0.0 0.0 -0.9 0.0 0.184000
0.0 0.0 -0.9 0.0 0.187000
0.0 0.0 -0.9 0.0 0.190000
0.0 0.0 -0.9 0.0 0.193000
0.0 0.0 -0.9 0.0 0.195000
0.0 0.0 -1.8 0.0 0.198000
0.0 0.0 -0.9 0.0 0.201000
0.0 0.0 -0.9 0.0 0.204000
0.0 0.0 -0.9 0.0 0.207000
0.0 0.0 -0.9 0.0 0.210000
0.0 0.0 -0.9 0.0 0.213000
0.0 0.0 -0.0 0.0 0.216000
0.0 0.0 -0.0 0.0 0.218000
0.0 0.0 -0.9 0.0 0.221000
0.0 0.0 -0.9 0.0 0.224000
0.0 0.0 -0.9 0.0 0.227000
0.0 0.0 -1.8 0.0 0.230000
0.0 0.0 -1.8 0.0 0.233000
0.0 0.0 -0.9 0.0 0.236000
0.0 0.0 -1.8 0.0 0.239000
0.0 0.0 -1.8 0.0 0.242000
0.0 0.0 -1.8 0.0 0.245000
0.0 0.0 -0.9 0.0 0.248000
0.0 0.0 -0.9 0.0 0.251000
0.0 0.0 -0.9 0.0 0.254000
0.0 0.0 -0.9 0.0 0.257000
0.0 0.0 -1.8 0.0 0.259000
0.0 0.0 -0.9 0.0 0.262000
0.0 0.0 -1.8 0.0 0.265000
0.0 0.0 -0.9 0.0 0.267000
0.0 0.0 -0.9 0.0 0.270000
0.0 0.0 -0.9 0.0 0.272000
0.0 0.0 -0.9 0.0 0.275000
0.0 0.0 -0.9 0.0 0.278000
0.0 0.0 -0.9 0.0 0.281000
0.0 0.0 -0.9 0.0 0.283000
0.0 0.0 -0.9 0.0 0.286000
0.0 0.0 -0.9 0.0 0.289000
0.0 0.0 -0.9 0.0 0.292000
0.0 0.0 -0.0 0.0 0.295000
0.0 0.0 -1.8 0.0 0.298000
0.0 0.0 -0.9 0.0 0.300000
0.0 0.0 -1.8 0.0 0.303000
0.0 0.0 -1.8 0.0 0.305000
0.0 0.0 -0.9 0.0 0.308000
0.0 0.0 -1.8 0.0 0.310000
0.0 0.0 -0.9 0.0 0.313000
0.0 0.0 -0.9 0.0 0.316000
0.0 0.0 -1.8 0.0 0.319000
0.0 0.0 -0.9 0.0 0.322000
0.0 0.0 -0.9 0.0 0.325000
0.0 0.0 -0.9 0.0 0.328000
0.0 0.0 -0.0 0.0 0.331000
0.0 0.0 -0.9 0.0 0.334000
0.0 0.0 -0.9 0.0 0.336000
0.0 0.0 -0.9 0.0 0.339000
0.0 0.0 -0.9 0.0 0.343000
0.0 0.0 -0.9 0.0 0.345000
0.0 0.0 -0.9 0.0 0.348000
0.0 0.0 -0.9 0.0 0.350000
0.0 0.0 -0.0 0.0 0.353000
