X Y Theta dr dl Time
-0.002381 -0.000044 0.036836 0.001726 -0.006489 0.097000
-0.007987 -0.000514 0.130629 0.004832 -0.016084 0.152000
-0.014273 -0.001636 0.222565 0.003866 -0.016636 0.201000
-0.021671 -0.003631 0.304285 0.001450 -0.016774 0.257000
-0.028863 -0.006173 0.375172 0.000276 -0.015532 0.307000
-0.036171 -0.009360 0.447296 0.000069 -0.016015 0.356000
-0.043577 -0.013223 0.514159 -0.000897 -0.015808 0.410000
-0.051400 -0.017894 0.562448 -0.003728 -0.014496 0.459000
-0.058465 -0.022603 0.613214 -0.002830 -0.014151 0.513000
-0.065781 -0.027976 0.653765 -0.004556 -0.013599 0.561000
-0.072691 -0.033259 0.651907 -0.008905 -0.008491 0.616000
-0.077975 -0.037201 0.629930 -0.009043 -0.004142 0.664000
-0.082645 -0.040578 0.622191 -0.006627 -0.004901 0.714000
-0.089536 -0.045715 0.659027 -0.004487 -0.012701 0.770000
-0.096619 -0.051392 0.692149 -0.005384 -0.012770 0.820000
-0.102951 -0.056786 0.719079 -0.005315 -0.011321 0.870000
-0.108373 -0.061648 0.742914 -0.004625 -0.009940 0.919000
-0.114297 -0.067137 0.751582 -0.007110 -0.009043 0.976000
-0.120629 -0.073049 0.750653 -0.008767 -0.008560 1.026000
-0.127806 -0.079624 0.732699 -0.011735 -0.007731 1.076000
-0.134256 -0.085356 0.720317 -0.010009 -0.007248 1.126000
-0.139879 -0.090251 0.712269 -0.008353 -0.006558 1.182000
-0.145256 -0.094849 0.702673 -0.008145 -0.006006 1.233000
-0.151932 -0.100371 0.679457 -0.011252 -0.006075 1.283000
-0.159381 -0.106363 0.675433 -0.010009 -0.009112 1.333000
-0.166528 -0.112125 0.681624 -0.008491 -0.009871 1.382000
-0.172234 -0.116816 0.694625 -0.005937 -0.008836 1.439000
-0.177765 -0.121447 0.699268 -0.006696 -0.007731 1.487000
-0.184599 -0.127102 0.683481 -0.010630 -0.007110 1.543000
-0.191380 -0.132549 0.669861 -0.010216 -0.007179 1.593000
-0.198118 -0.137884 0.669552 -0.008629 -0.008560 1.642000
-0.204551 -0.143046 0.682862 -0.006765 -0.009733 1.692000
-0.210450 -0.147882 0.690601 -0.006765 -0.008491 1.748000
-0.216736 -0.153063 0.688125 -0.008422 -0.007869 1.799000
-0.222601 -0.157885 0.688125 -0.007593 -0.007593 1.848000
-0.228359 -0.162675 0.699578 -0.006213 -0.008767 1.903000
-0.234582 -0.167984 0.712888 -0.006696 -0.009664 1.951000
-0.243446 -0.175462 0.688744 -0.014289 -0.008905 2.006000
-0.251320 -0.181808 0.668004 -0.012425 -0.007800 2.055000
-0.256824 -0.186198 0.678529 -0.005867 -0.008214 2.110000
-0.261360 -0.189920 0.695863 -0.003935 -0.007800 2.160000
-0.266620 -0.194337 0.701126 -0.006282 -0.007455 2.208000
-0.275155 -0.201509 0.696482 -0.011666 -0.010630 2.263000
-0.284019 -0.208933 0.698030 -0.011390 -0.011735 2.312000
-0.290359 -0.214318 0.710102 -0.006972 -0.009664 2.366000
-0.295332 -0.218645 0.722175 -0.005246 -0.007938 2.415000
-0.301627 -0.224083 0.702673 -0.010492 -0.006144 2.470000
-0.307602 -0.229043 0.683172 -0.009940 -0.005591 2.518000
-0.314668 -0.234795 0.683172 -0.009112 -0.009112 2.573000
-0.321036 -0.239985 0.684410 -0.008076 -0.008353 2.623000
-0.326336 -0.244298 0.681934 -0.007110 -0.006558 2.672000
-0.331745 -0.248698 0.683791 -0.006765 -0.007179 2.726000
-0.338666 -0.254410 0.696173 -0.007593 -0.010354 2.775000
-0.344676 -0.259490 0.707316 -0.006627 -0.009112 2.824000
-0.350559 -0.264506 0.704840 -0.008007 -0.007455 2.881000
-0.357728 -0.270460 0.681314 -0.011942 -0.006696 2.927000
-0.364626 -0.275926 0.658717 -0.011321 -0.006282 2.979000
-0.371816 -0.281468 0.654693 -0.009526 -0.008629 3.030000
-0.378510 -0.286634 0.659956 -0.007869 -0.009043 3.082000
-0.384568 -0.291382 0.669552 -0.006627 -0.008767 3.137000
-0.391243 -0.296629 0.662742 -0.009250 -0.007731 3.186000
-0.399587 -0.303160 0.665528 -0.010285 -0.010907 3.241000
-0.406667 -0.308786 0.677290 -0.007731 -0.010354 3.290000
-0.411653 -0.312884 0.698649 -0.004073 -0.008836 3.339000
-0.416710 -0.317167 0.706697 -0.005729 -0.007524 3.394000
-0.423772 -0.323194 0.706388 -0.009319 -0.009250 3.443000
-0.431653 -0.329963 0.712888 -0.009664 -0.011114 3.498000
-0.437905 -0.335449 0.727437 -0.006696 -0.009940 3.547000
-0.443611 -0.340563 0.734247 -0.006903 -0.008422 3.602000
-0.451295 -0.347243 0.696792 -0.014358 -0.006006 3.652000
-0.457947 -0.352630 0.664599 -0.012149 -0.004970 3.700000
-0.463683 -0.357229 0.687196 -0.004832 -0.009871 3.755000
-0.468562 -0.361347 0.714746 -0.003313 -0.009457 3.804000
-0.475184 -0.367093 0.714746 -0.008767 -0.008767 3.859000
-0.482444 -0.373260 0.693696 -0.011873 -0.007179 3.909000
-0.489475 -0.378836 0.647264 -0.014151 -0.003797 3.957000
-0.494996 -0.382980 0.640454 -0.007662 -0.006144 4.012000
-0.500582 -0.387209 0.655622 -0.005315 -0.008698 4.061000
-0.506357 -0.391702 0.666766 -0.006075 -0.008560 4.115000
-0.513805 -0.397473 0.651598 -0.011114 -0.007731 4.164000
-0.521603 -0.403413 0.650360 -0.009940 -0.009664 4.219000
-0.528190 -0.408435 0.652217 -0.008076 -0.008491 4.269000
-0.534833 -0.413498 0.650360 -0.008560 -0.008145 4.317000
-0.542080 -0.419022 0.652217 -0.008905 -0.009319 4.372000
-0.549328 -0.424543 0.649741 -0.009388 -0.008836 4.421000
-0.555634 -0.429365 0.655932 -0.007248 -0.008629 4.476000
-0.562237 -0.434537 0.672957 -0.006489 -0.010285 4.525000
-0.568852 -0.439860 0.682243 -0.007455 -0.009526 4.573000
-0.575578 -0.445319 0.681314 -0.008767 -0.008560 4.629000
-0.582495 -0.450983 0.690910 -0.007869 -0.010009 4.678000
-0.588971 -0.456474 0.715674 -0.005729 -0.011252 4.732000
-0.595420 -0.462154 0.728366 -0.007179 -0.010009 4.781000
