Rspeed Rref Lspeed Lref Time
-0.0 0.0 24.5 30.0 0.011
0.9 0.0 25.4 30.0 0.022
-9.6 0.0 -0.9 30.0 0.033
-17.5 0.0 -6.1 30.0 0.044
-16.7 0.0 3.5 30.0 0.055
-17.5 0.0 7.0 30.0 0.066
-17.5 0.0 4.4 30.0 0.077
-17.5 0.0 6.1 30.0 0.088
-10.5 0.0 5.3 30.0 0.099
-8.8 0.0 7.0 30.0 0.110
-8.8 0.0 14.0 30.0 0.121
-7.9 0.0 15.8 30.0 0.132
-7.9 0.0 17.5 30.0 0.144
-8.8 0.0 16.7 30.0 0.155
-8.8 0.0 17.5 30.0 0.166
-7.0 0.0 17.5 30.0 0.177
-7.9 0.0 17.5 30.0 0.188
-6.1 0.0 18.4 30.0 0.199
-10.5 0.0 17.5 30.0 0.210
-7.0 0.0 17.5 30.0 0.221
-8.8 0.0 16.7 30.0 0.232
-10.5 0.0 18.4 30.0 0.243
-7.9 0.0 18.4 30.0 0.254
-8.8 0.0 18.4 30.0 0.265
-7.9 0.0 24.5 30.0 0.276
-9.6 0.0 24.5 30.0 0.287
-8.8 0.0 15.8 30.0 0.298
-1.8 0.0 15.8 30.0 0.309
-0.0 0.0 22.8 30.0 0.320
-6.1 0.0 25.4 30.0 0.331
-3.5 0.0 27.2 30.0 0.342
-0.9 0.0 27.2 30.0 0.353
-0.0 0.0 28.9 30.0 0.364
-6.1 0.0 28.9 30.0 0.375
-7.9 0.0 27.2 30.0 0.386
-1.8 0.0 28.0 30.0 0.397
-0.9 0.0 28.0 30.0 0.408
-0.0 0.0 27.2 30.0 0.419
-0.0 0.0 26.3 30.0 0.430
-6.1 0.0 25.4 30.0 0.441
-7.9 0.0 24.5 30.0 0.452
-1.8 0.0 24.5 30.0 0.463
-0.0 0.0 23.7 30.0 0.474
0.9 0.0 24.5 30.0 0.485
-0.0 0.0 27.2 30.0 0.496
-0.0 0.0 27.2 30.0 0.507
-0.0 0.0 28.0 30.0 0.518
0.9 0.0 27.2 30.0 0.529
-0.0 0.0 28.0 30.0 0.540
-0.0 0.0 26.3 30.0 0.551
-0.0 0.0 26.3 30.0 0.562
-0.0 0.0 26.3 30.0 0.573
-0.0 0.0 27.2 30.0 0.584
0.9 0.0 26.3 30.0 0.595
-0.0 0.0 26.3 30.0 0.606
-0.0 0.0 26.3 30.0 0.617
0.9 0.0 25.4 30.0 0.628
-0.0 0.0 27.2 30.0 0.639
-0.0 0.0 27.2 30.0 0.650
-0.0 0.0 26.3 30.0 0.661
0.9 0.0 28.0 30.0 0.672
-0.0 0.0 28.9 30.0 0.683
-0.0 0.0 26.3 30.0 0.694
-0.0 0.0 27.2 30.0 0.705
-0.0 0.0 34.2 30.0 0.716
-0.0 0.0 28.9 30.0 0.727
0.9 0.0 28.0 30.0 0.738
-0.0 0.0 28.0 30.0 0.749
-0.0 0.0 28.0 30.0 0.760
-0.0 0.0 26.3 30.0 0.771
-0.0 0.0 28.0 30.0 0.783
-0.0 0.0 35.9 30.0 0.794
-0.0 0.0 35.9 30.0 0.805
-0.0 0.0 28.0 30.0 0.815
-0.0 0.0 27.2 30.0 0.826
-0.0 0.0 27.2 30.0 0.837
-0.0 0.0 26.3 30.0 0.848
-0.0 0.0 34.2 30.0 0.859
-0.0 0.0 35.9 30.0 0.870
0.9 0.0 29.8 30.0 0.881
-0.0 0.0 27.2 30.0 0.892
-0.0 0.0 25.4 30.0 0.903
-0.0 0.0 26.3 30.0 0.914
-0.0 0.0 34.2 30.0 0.925
-0.0 0.0 36.8 30.0 0.936
-1.8 0.0 28.9 30.0 0.947
-0.0 0.0 27.2 30.0 0.958
-0.0 0.0 27.2 30.0 0.969
-0.9 0.0 34.2 30.0 0.980
0.9 0.0 37.7 30.0 0.992
-0.9 0.0 29.8 30.0 1.003
-0.0 0.0 26.3 30.0 1.014
-0.0 0.0 28.9 30.0 1.025
-0.0 0.0 28.0 30.0 1.036
-0.0 0.0 28.9 30.0 1.047
-0.0 0.0 27.2 30.0 1.058
-0.9 0.0 27.2 30.0 1.069
-0.9 0.0 34.2 30.0 1.080
-0.0 0.0 37.7 30.0 1.091
-0.0 0.0 28.9 30.0 1.102
-0.0 0.0 28.9 30.0 1.113
-0.0 0.0 28.0 30.0 1.124
0.9 0.0 28.9 30.0 1.135
-0.0 0.0 28.0 30.0 1.146
-0.0 0.0 27.2 30.0 1.157
0.9 0.0 28.0 30.0 1.168
-0.9 0.0 34.2 30.0 1.179
-0.0 0.0 27.2 30.0 1.191
-0.0 0.0 28.0 30.0 1.202
-0.0 0.0 36.8 30.0 1.213
0.9 0.0 37.7 30.0 1.224
0.9 0.0 30.7 30.0 1.235
-0.0 0.0 27.2 30.0 1.246
-0.0 0.0 26.3 30.0 1.257
-0.0 0.0 28.9 30.0 1.268
-0.0 0.0 35.1 30.0 1.279
-0.0 0.0 28.9 30.0 1.290
-0.0 0.0 28.0 30.0 1.301
-0.0 0.0 28.0 30.0 1.312
-0.0 0.0 26.3 30.0 1.323
-0.0 0.0 26.3 30.0 1.334
-0.0 0.0 36.8 30.0 1.346
-0.0 0.0 38.6 30.0 1.357
-0.0 0.0 30.7 30.0 1.368
-0.9 0.0 26.3 30.0 1.379
0.9 0.0 28.9 30.0 1.390
-0.9 0.0 28.9 30.0 1.401
-0.0 0.0 26.3 30.0 1.412
-0.0 0.0 27.2 30.0 1.423
-0.0 0.0 35.1 30.0 1.434
-0.0 0.0 37.7 30.0 1.445
0.9 0.0 29.8 30.0 1.456
-0.0 0.0 28.0 30.0 1.467
0.9 0.0 28.9 30.0 1.478
-0.0 0.0 27.2 30.0 1.490
-0.0 0.0 28.0 30.0 1.501
-0.9 0.0 28.9 30.0 1.512
-0.0 0.0 28.0 30.0 1.523
-0.0 0.0 28.0 30.0 1.534
-0.0 0.0 27.2 30.0 1.545
0.9 0.0 27.2 30.0 1.556
-0.0 0.0 35.9 30.0 1.567
-0.0 0.0 36.8 30.0 1.578
-0.0 0.0 29.8 30.0 1.589
0.9 0.0 29.8 30.0 1.600
-0.0 0.0 27.2 30.0 1.611
0.9 0.0 28.0 30.0 1.622
-0.0 0.0 28.0 30.0 1.633
-0.9 0.0 28.9 30.0 1.644
-0.0 0.0 27.2 30.0 1.656
-0.0 0.0 28.0 30.0 1.667
-0.0 0.0 35.1 30.0 1.678
-0.0 0.0 36.8 30.0 1.689
-0.0 0.0 29.8 30.0 1.700
-0.0 0.0 28.9 30.0 1.711
-0.0 0.0 28.0 30.0 1.722
0.9 0.0 28.0 30.0 1.733
-0.0 0.0 28.9 30.0 1.744
-0.0 0.0 27.2 30.0 1.755
-0.0 0.0 28.0 30.0 1.766
-0.0 0.0 35.9 30.0 1.777
-0.0 0.0 37.7 30.0 1.789
-0.0 0.0 29.8 30.0 1.800
-0.0 0.0 28.0 30.0 1.811
-0.0 0.0 27.2 30.0 1.822
0.9 0.0 28.0 30.0 1.833
0.9 0.0 27.2 30.0 1.844
-6.1 0.0 28.0 30.0 1.855
-5.3 0.0 35.9 30.0 1.866
-0.0 0.0 28.9 30.0 1.877
-0.0 0.0 27.2 30.0 1.888
-0.9 0.0 27.2 30.0 1.899
-0.0 0.0 35.1 30.0 1.910
-0.0 0.0 35.9 30.0 1.921
0.9 0.0 28.9 30.0 1.932
-0.0 0.0 28.0 30.0 1.944
-0.0 0.0 28.0 30.0 1.955
-0.0 0.0 28.9 30.0 1.966
-0.0 0.0 27.2 30.0 1.977
-0.0 0.0 28.0 30.0 1.988
-0.0 0.0 35.1 30.0 1.999
-0.0 0.0 28.0 30.0 2.010
-0.9 0.0 28.0 30.0 2.021
