Rspeed Rref Lspeed Lref Time
22.8 0.0 23.7 0.0 0.001000
16.7 0.0 13.1 0.0 0.005000
0.0 0.0 -10.5 0.0 0.009000
-0.9 0.0 -16.7 0.0 0.013000
1.8 0.0 -14.9 0.0 0.016000
4.4 0.0 -11.4 0.0 0.019000
9.6 0.0 -9.6 0.0 0.022000
9.6 0.0 -9.6 0.0 0.025000
9.6 0.0 -15.8 0.0 0.028000
8.8 0.0 -15.8 0.0 0.030000
9.6 0.0 -14.0 0.0 0.033000
10.5 0.0 -13.1 0.0 0.036000
9.6 0.0 -7.9 0.0 0.039000
10.5 0.0 -7.9 0.0 0.042000
10.5 0.0 -4.4 0.0 0.045000
7.0 0.0 -3.5 0.0 0.048000
5.3 0.0 -4.4 0.0 0.051000
8.8 0.0 -8.8 0.0 0.055000
4.4 0.0 -8.8 0.0 0.058000
4.4 0.0 -8.8 0.0 0.060000
8.8 0.0 -7.9 0.0 0.063000
9.6 0.0 -7.9 0.0 0.065000
12.3 0.0 -7.0 0.0 0.068000
12.3 0.0 -6.1 0.0 0.070000
6.1 0.0 -4.4 0.0 0.074000
7.9 0.0 -2.6 0.0 0.078000
6.1 0.0 -3.5 0.0 0.082000
5.3 0.0 -9.6 0.0 0.086000
6.1 0.0 -12.3 0.0 0.090000
5.3 0.0 -11.4 0.0 0.092000
5.3 0.0 -11.4 0.0 0.095000
4.4 0.0 -10.5 0.0 0.098000
4.4 0.0 -7.0 0.0 0.100000
4.4 0.0 -9.6 0.0 0.103000
4.4 0.0 -5.3 0.0 0.105000
5.3 0.0 -4.4 0.0 0.108000
6.1 0.0 -5.3 0.0 0.110000
6.1 0.0 -6.1 0.0 0.113000
7.0 0.0 -5.3 0.0 0.116000
6.1 0.0 -6.1 0.0 0.118000
6.1 0.0 -6.1 0.0 0.121000
6.1 0.0 -6.1 0.0 0.123000
7.0 0.0 -7.0 0.0 0.126000
7.0 0.0 -6.1 0.0 0.128000
6.1 0.0 -6.1 0.0 0.130000
7.0 0.0 -7.0 0.0 0.133000
5.3 0.0 -5.3 0.0 0.135000
5.3 0.0 -7.0 0.0 0.137000
5.3 0.0 -6.1 0.0 0.140000
4.4 0.0 -6.1 0.0 0.142000
4.4 0.0 -6.1 0.0 0.144000
4.4 0.0 -5.3 0.0 0.147000
4.4 0.0 -6.1 0.0 0.149000
4.4 0.0 -6.1 0.0 0.152000
3.5 0.0 -7.0 0.0 0.154000
3.5 0.0 -6.1 0.0 0.156000
4.4 0.0 -6.1 0.0 0.158000
3.5 0.0 -6.1 0.0 0.160000
4.4 0.0 -6.1 0.0 0.163000
3.5 0.0 -6.1 0.0 0.165000
3.5 0.0 -6.1 0.0 0.167000
3.5 0.0 -5.3 0.0 0.169000
2.6 0.0 -6.1 0.0 0.171000
2.6 0.0 -6.1 0.0 0.173000
2.6 0.0 -5.3 0.0 0.175000
2.6 0.0 -5.3 0.0 0.178000
3.5 0.0 -5.3 0.0 0.180000
2.6 0.0 -5.3 0.0 0.182000
3.5 0.0 -5.3 0.0 0.184000
3.5 0.0 -5.3 0.0 0.187000
3.5 0.0 -6.1 0.0 0.189000
2.6 0.0 -5.3 0.0 0.191000
2.6 0.0 -4.4 0.0 0.193000
2.6 0.0 -5.3 0.0 0.195000
4.4 0.0 -4.4 0.0 0.198000
3.5 0.0 -5.3 0.0 0.200000
3.5 0.0 -4.4 0.0 0.202000
3.5 0.0 -5.3 0.0 0.204000
4.4 0.0 -5.3 0.0 0.206000
3.5 0.0 -5.3 0.0 0.208000
3.5 0.0 -5.3 0.0 0.210000
3.5 0.0 -4.4 0.0 0.212000
4.4 0.0 -5.3 0.0 0.215000
3.5 0.0 -5.3 0.0 0.217000
4.4 0.0 -5.3 0.0 0.219000
4.4 0.0 -5.3 0.0 0.221000
4.4 0.0 -5.3 0.0 0.223000
4.4 0.0 -5.3 0.0 0.225000
4.4 0.0 -5.3 0.0 0.227000
4.4 0.0 -5.3 0.0 0.229000
4.4 0.0 -5.3 0.0 0.232000
4.4 0.0 -5.3 0.0 0.234000
4.4 0.0 -5.3 0.0 0.236000
3.5 0.0 -5.3 0.0 0.238000
5.3 0.0 -5.3 0.0 0.240000
3.5 0.0 -5.3 0.0 0.242000
3.5 0.0 -5.3 0.0 0.245000
3.5 0.0 -6.1 0.0 0.247000
3.5 0.0 -5.3 0.0 0.249000
3.5 0.0 -5.3 0.0 0.251000
3.5 0.0 -6.1 0.0 0.253000
3.5 0.0 -5.3 0.0 0.255000
3.5 0.0 -5.3 0.0 0.258000
4.4 0.0 -5.3 0.0 0.260000
3.5 0.0 -6.1 0.0 0.262000
4.4 0.0 -5.3 0.0 0.264000
3.5 0.0 -4.4 0.0 0.266000
3.5 0.0 -4.4 0.0 0.268000
3.5 0.0 -5.3 0.0 0.271000
3.5 0.0 -5.3 0.0 0.273000
3.5 0.0 -5.3 0.0 0.275000
3.5 0.0 -3.5 0.0 0.277000
4.4 0.0 -3.5 0.0 0.279000
3.5 0.0 -0.9 0.0 0.281000
3.5 0.0 0.9 0.0 0.283000
3.5 0.0 0.9 0.0 0.286000
3.5 0.0 -0.0 0.0 0.288000
3.5 0.0 -0.0 0.0 0.290000
3.5 0.0 -0.0 0.0 0.292000
3.5 0.0 -0.0 0.0 0.294000
3.5 0.0 -0.0 0.0 0.296000
4.4 0.0 -0.0 0.0 0.299000
4.4 0.0 -0.0 0.0 0.301000
4.4 0.0 -0.0 0.0 0.303000
3.5 0.0 -0.0 0.0 0.305000
4.4 0.0 -0.0 0.0 0.307000
4.4 0.0 -0.0 0.0 0.309000
4.4 0.0 -0.0 0.0 0.312000
4.4 0.0 -0.0 0.0 0.314000
4.4 0.0 -0.0 0.0 0.316000
4.4 0.0 -0.0 0.0 0.318000
4.4 0.0 -0.0 0.0 0.320000
4.4 0.0 -0.0 0.0 0.323000
4.4 0.0 -2.6 0.0 0.325000
4.4 0.0 -5.3 0.0 0.327000
4.4 0.0 -5.3 0.0 0.329000
4.4 0.0 -6.1 0.0 0.331000
4.4 0.0 -6.1 0.0 0.334000
3.5 0.0 -6.1 0.0 0.336000
3.5 0.0 -7.0 0.0 0.338000
4.4 0.0 -6.1 0.0 0.340000
3.5 0.0 -7.0 0.0 0.342000
3.5 0.0 -7.0 0.0 0.344000
3.5 0.0 -6.1 0.0 0.347000
3.5 0.0 -5.3 0.0 0.349000
4.4 0.0 -5.3 0.0 0.351000
3.5 0.0 -4.4 0.0 0.353000
4.4 0.0 -4.4 0.0 0.355000
4.4 0.0 -0.0 0.0 0.358000
3.5 0.0 0.9 0.0 0.360000
1.8 0.0 2.6 0.0 0.362000
1.8 0.0 0.9 0.0 0.364000
1.8 0.0 0.9 0.0 0.366000
2.6 0.0 -0.0 0.0 0.368000
2.6 0.0 -0.0 0.0 0.371000
3.5 0.0 -0.0 0.0 0.373000
3.5 0.0 -0.0 0.0 0.375000
3.5 0.0 -0.0 0.0 0.377000
4.4 0.0 -0.0 0.0 0.379000
5.3 0.0 -0.0 0.0 0.381000
4.4 0.0 -0.0 0.0 0.384000
3.5 0.0 -0.0 0.0 0.386000
0.0 0.0 -0.0 0.0 0.388000
0.0 0.0 -0.0 0.0 0.390000
0.0 0.0 -0.0 0.0 0.392000
-0.9 0.0 -0.0 0.0 0.394000
0.9 0.0 -0.0 0.0 0.396000
0.0 0.0 -4.4 0.0 0.399000
2.6 0.0 -6.1 0.0 0.401000
2.6 0.0 -6.1 0.0 0.403000
2.6 0.0 -5.3 0.0 0.405000
5.3 0.0 -5.3 0.0 0.407000
7.0 0.0 -5.3 0.0 0.409000
3.5 0.0 -5.3 0.0 0.412000
0.9 0.0 -4.4 0.0 0.414000
0.0 0.0 -4.4 0.0 0.416000
0.0 0.0 -3.5 0.0 0.418000
0.9 0.0 -3.5 0.0 0.420000
0.9 0.0 -2.6 0.0 0.423000
2.6 0.0 -2.6 0.0 0.425000
3.5 0.0 -0.9 0.0 0.427000
3.5 0.0 -0.0 0.0 0.429000
2.6 0.0 0.9 0.0 0.431000
0.0 0.0 1.8 0.0 0.433000
0.0 0.0 -0.0 0.0 0.436000
0.0 0.0 -0.0 0.0 0.438000
0.0 0.0 -0.0 0.0 0.441000
0.0 0.0 -0.0 0.0 0.443000
1.8 0.0 -0.0 0.0 0.446000
1.8 0.0 -0.0 0.0 0.449000
1.8 0.0 -0.0 0.0 0.451000
0.0 0.0 -0.0 0.0 0.454000
0.0 0.0 -0.0 0.0 0.457000
0.0 0.0 -0.0 0.0 0.459000
1.8 0.0 -0.0 0.0 0.462000
2.6 0.0 -0.0 0.0 0.465000
1.8 0.0 -0.0 0.0 0.467000
0.9 0.0 -0.0 0.0 0.470000
1.8 0.0 -0.0 0.0 0.473000
1.8 0.0 -0.0 0.0 0.475000
3.5 0.0 -0.0 0.0 0.478000
1.8 0.0 -0.0 0.0 0.481000
1.8 0.0 -0.0 0.0 0.483000
0.0 0.0 -0.0 0.0 0.486000
0.0 0.0 -0.0 0.0 0.489000
0.0 0.0 -0.0 0.0 0.491000
0.0 0.0 -0.0 0.0 0.494000
0.0 0.0 -0.0 0.0 0.497000
0.0 0.0 -0.0 0.0 0.500000
0.0 0.0 -0.0 0.0 0.502000
0.0 0.0 -0.0 0.0 0.505000
0.9 0.0 -0.0 0.0 0.508000
3.5 0.0 -0.0 0.0 0.510000
3.5 0.0 -0.0 0.0 0.513000
5.3 0.0 -0.0 0.0 0.515000
4.4 0.0 -0.0 0.0 0.518000
6.1 0.0 -0.0 0.0 0.521000
4.4 0.0 -0.0 0.0 0.523000
2.6 0.0 -0.0 0.0 0.526000
3.5 0.0 -0.0 0.0 0.528000
0.0 0.0 -0.0 0.0 0.531000
0.0 0.0 -0.0 0.0 0.533000
-0.9 0.0 -0.0 0.0 0.535000
-1.8 0.0 -0.0 0.0 0.537000
0.0 0.0 -0.0 0.0 0.540000
0.0 0.0 -0.0 0.0 0.542000
-0.9 0.0 -0.0 0.0 0.545000
0.0 0.0 -0.0 0.0 0.547000
0.0 0.0 -0.0 0.0 0.549000
0.0 0.0 -0.0 0.0 0.552000
0.0 0.0 -0.0 0.0 0.554000
0.0 0.0 -0.0 0.0 0.556000
0.0 0.0 -0.0 0.0 0.558000
0.0 0.0 -0.0 0.0 0.561000
0.0 0.0 -0.0 0.0 0.563000
0.0 0.0 -0.0 0.0 0.565000
0.0 0.0 -0.0 0.0 0.567000
0.0 0.0 0.9 0.0 0.570000
0.0 0.0 0.9 0.0 0.572000
0.0 0.0 -0.0 0.0 0.574000
0.0 0.0 -0.0 0.0 0.577000
0.0 0.0 -0.0 0.0 0.579000
0.0 0.0 -0.0 0.0 0.581000
0.0 0.0 -0.0 0.0 0.583000
0.0 0.0 -0.0 0.0 0.585000
0.0 0.0 -0.0 0.0 0.588000
0.0 0.0 -0.0 0.0 0.590000
0.0 0.0 -0.0 0.0 0.592000
0.0 0.0 -0.0 0.0 0.595000
0.0 0.0 -0.0 0.0 0.597000
0.0 0.0 -1.8 0.0 0.599000
0.0 0.0 -2.6 0.0 0.602000
0.0 0.0 -0.9 0.0 0.604000
0.0 0.0 -0.9 0.0 0.606000
0.0 0.0 0.9 0.0 0.609000
0.0 0.0 0.9 0.0 0.611000
0.0 0.0 -0.0 0.0 0.613000
0.0 0.0 -0.0 0.0 0.616000
0.0 0.0 -0.0 0.0 0.618000
0.0 0.0 -0.0 0.0 0.620000
0.0 0.0 -0.0 0.0 0.623000
0.0 0.0 -0.0 0.0 0.625000
0.0 0.0 -0.0 0.0 0.628000
0.0 0.0 -0.0 0.0 0.630000
0.0 0.0 -0.9 0.0 0.633000
0.0 0.0 -5.3 0.0 0.635000
0.0 0.0 -6.1 0.0 0.637000
0.0 0.0 -5.3 0.0 0.639000
0.0 0.0 -1.8 0.0 0.642000
0.0 0.0 -0.0 0.0 0.644000
0.0 0.0 2.6 0.0 0.646000
0.0 0.0 0.9 0.0 0.649000
0.0 0.0 -0.0 0.0 0.651000
0.0 0.0 -0.0 0.0 0.653000
0.0 0.0 -0.9 0.0 0.655000
0.0 0.0 -0.0 0.0 0.658000
0.0 0.0 -0.0 0.0 0.660000
0.0 0.0 -0.0 0.0 0.663000
0.0 0.0 -0.0 0.0 0.665000
0.0 0.0 -0.0 0.0 0.667000
0.0 0.0 -0.0 0.0 0.670000
0.0 0.0 -0.9 0.0 0.672000
0.0 0.0 -4.4 0.0 0.674000
0.0 0.0 -5.3 0.0 0.677000
0.0 0.0 -2.6 0.0 0.679000
0.0 0.0 -0.0 0.0 0.681000
0.0 0.0 1.8 0.0 0.684000
0.0 0.0 0.9 0.0 0.686000
0.0 0.0 -0.0 0.0 0.688000
0.0 0.0 -0.0 0.0 0.690000
0.0 0.0 -0.0 0.0 0.693000
0.0 0.0 -0.0 0.0 0.695000
0.0 0.0 -0.0 0.0 0.697000
0.0 0.0 -0.0 0.0 0.700000
0.0 0.0 -0.0 0.0 0.702000
0.0 0.0 -0.0 0.0 0.704000
0.0 0.0 -0.0 0.0 0.706000
0.0 0.0 -0.0 0.0 0.709000
0.0 0.0 -0.0 0.0 0.711000
0.0 0.0 -0.0 0.0 0.713000
0.0 0.0 -0.0 0.0 0.715000
0.0 0.0 -0.0 0.0 0.717000
0.0 0.0 -0.0 0.0 0.720000
0.0 0.0 -0.0 0.0 0.723000
0.0 0.0 -0.0 0.0 0.726000
0.0 0.0 -0.0 0.0 0.728000
0.0 0.0 -0.0 0.0 0.731000
0.0 0.0 -0.0 0.0 0.734000
0.0 0.0 -0.0 0.0 0.736000
0.0 0.0 -0.0 0.0 0.739000
0.0 0.0 -0.0 0.0 0.742000
0.0 0.0 -0.0 0.0 0.744000
0.0 0.0 -0.0 0.0 0.747000
0.0 0.0 -0.0 0.0 0.749000
0.0 0.0 -0.0 0.0 0.752000
0.0 0.0 -0.0 0.0 0.754000
0.0 0.0 -0.0 0.0 0.756000
0.0 0.0 -0.0 0.0 0.759000
0.0 0.0 -0.0 0.0 0.761000
0.0 0.0 -0.0 0.0 0.763000
0.0 0.0 -0.0 0.0 0.766000
0.0 0.0 -0.0 0.0 0.768000
